replicate,T_K,T_C,t_eq,ErrTraj,t_eq_mi,T_bin_K
16,287.15,14,1000.0,0.288680346,1000.0,287.15
16,289.15,16,1000.0,0.14966184,1000.0,287.15
16,291.15,18,1000.0,0.086577993,1000.0,291.15
16,293.15,20,834.1708543,0.571259324,819.0954774,291.15
16,295.15,22,1000.0,0.416022866,1000.0,295.15
16,297.15,24,1000.0,0.552848949,1000.0,295.15
16,299.15,26,577.8894472,0.224644834,386.9346734,299.15
16,301.15,28,603.0150754,0.090491786,296.4824121,299.15
16,303.15,30,668.3417085,-3.819762218,170.8542714,303.15
16,305.15,32,1000.0,0.089703467,1000.0,303.15
16,307.15,34,678.3919598,0.174681832,562.8140704,307.15
16,309.15,36,597.9899497,0.215485613,120.6030151,307.15
16,311.15,38,1000.0,-0.05889008,452.2613065,311.15
16,313.15,40,190.9547739,0.066515265,190.9547739,311.15
17,283.15,10,1000.0,0.891416344,1000.0,283.15
17,285.15,12,1000.0,0.481701833,1000.0,283.15
17,287.15,14,1000.0,0.457506507,899.4974874,287.15
17,289.15,16,1000.0,0.128251238,1000.0,287.15
17,291.15,18,1000.0,0.196928525,1000.0,291.15
17,293.15,20,1000.0,0.137668585,1000.0,291.15
17,295.15,22,321.6080402,0.250589485,311.5577889,295.15
17,297.15,24,1000.0,1.160348462,1000.0,295.15
17,299.15,26,1000.0,0.178056558,1000.0,299.15
17,301.15,28,527.638191,0.399282281,221.1055276,299.15
17,303.15,30,407.0351759,0.021697858,60.30150754,303.15
17,305.15,32,1000.0,0.17111239,1000.0,303.15
17,307.15,34,613.0653266,0.140893345,336.6834171,307.15
17,309.15,36,497.4874372,1.07809639,291.4572864,307.15
17,311.15,38,884.4221106,0.047474906,608.040201,311.15
17,313.15,40,376.8844221,0.023749064,291.4572864,311.15
18,283.15,10,1000.0,0.812425401,1000.0,283.15
18,285.15,12,1000.0,0.548373542,643.2160804,283.15
18,287.15,14,718.5929648,0.097418752,567.839196,287.15
18,289.15,16,1000.0,0.188474683,1000.0,287.15
18,291.15,18,1000.0,0.009560021,1000.0,291.15
18,293.15,20,311.5577889,0.567990508,271.3567839,291.15
18,295.15,22,939.6984925,0.376659102,773.8693467,295.15
18,297.15,24,1000.0,0.594426238,1000.0,295.15
18,299.15,26,1000.0,0.224688411,1000.0,299.15
18,301.15,28,1000.0,0.093480501,979.8994975,299.15
18,303.15,30,532.6633166,0.058336354,125.6281407,303.15
18,305.15,32,1000.0,-0.038170748,924.6231156,303.15
18,307.15,34,1000.0,-0.041234135,1000.0,307.15
18,309.15,36,386.9346734,0.090121591,100.5025126,307.15
18,311.15,38,447.2361809,0.309535476,236.1809045,311.15
18,313.15,40,296.4824121,-1.268650527,256.281407,311.15
19,283.15,10,1000.0,0.345834657,1000.0,283.15
19,285.15,12,1000.0,0.282418054,1000.0,283.15
19,287.15,14,1000.0,0.226676212,1000.0,287.15
19,289.15,16,1000.0,0.183096683,1000.0,287.15
19,291.15,18,1000.0,0.080903875,1000.0,291.15
19,293.15,20,1000.0,0.275390049,1000.0,291.15
19,295.15,22,678.3919598,1.20496902,517.5879397,295.15
19,297.15,24,1000.0,0.729968922,1000.0,295.15
19,299.15,26,638.1909548,0.236448592,547.7386935,299.15
19,301.15,28,301.5075377,0.850443299,221.1055276,299.15
19,303.15,30,1000.0,2.67594848,1000.0,303.15
19,305.15,32,1000.0,0.200728801,964.8241206,303.15
19,307.15,34,804.0201005,0.049662313,492.4623116,307.15
19,309.15,36,261.3065327,0.62203951,185.9296482,307.15
19,311.15,38,572.8643216,0.105201761,396.9849246,311.15
19,313.15,40,195.9798995,0.017390036,195.9798995,311.15
20,283.15,10,1000.0,0.434529807,1000.0,283.15
20,285.15,12,1000.0,0.287642089,1000.0,283.15
20,287.15,14,1000.0,0.339200421,1000.0,287.15
20,289.15,16,1000.0,0.026775334,1000.0,287.15
20,291.15,18,1000.0,0.039177927,1000.0,291.15
20,293.15,20,597.9899497,1.099632194,452.2613065,291.15
20,295.15,22,1000.0,0.307643784,1000.0,295.15
20,297.15,24,1000.0,0.096318767,844.2211055,295.15
20,299.15,26,1000.0,0.009945029,929.6482412,299.15
20,301.15,28,1000.0,0.740705979,1000.0,299.15
20,303.15,30,517.5879397,-0.539968101,497.4874372,303.15
20,305.15,32,1000.0,0.000518382,1000.0,303.15
20,307.15,34,412.0603015,0.475550852,336.6834171,307.15
20,309.15,36,1000.0,0.06988644,386.9346734,307.15
20,311.15,38,1000.0,0.116290949,346.7336683,311.15
20,313.15,40,1000.0,0.013940558,321.6080402,311.15
21,283.15,10,1000.0,0.448956079,1000.0,283.15
21,285.15,12,1000.0,0.277169277,854.2713568,283.15
21,287.15,14,1000.0,0.282873864,834.1708543,287.15
21,289.15,16,1000.0,0.219977297,1000.0,287.15
21,291.15,18,1000.0,0.075137931,1000.0,291.15
21,293.15,20,1000.0,0.5698195,1000.0,291.15
21,295.15,22,783.919598,-0.00442254,728.6432161,295.15
21,297.15,24,1000.0,1.536029489,778.8944724,295.15
21,299.15,26,1000.0,0.244166198,1000.0,299.15
21,301.15,28,366.8341709,0.299608616,366.8341709,299.15
21,303.15,30,276.3819095,0.666633153,70.35175879,303.15
21,305.15,32,1000.0,-0.074505456,899.4974874,303.15
21,307.15,34,1000.0,0.126206416,1000.0,307.15
21,309.15,36,1000.0,-0.749858455,211.0552764,307.15
21,311.15,38,356.7839196,0.314908055,306.5326633,311.15
21,313.15,40,271.3567839,0.004199115,256.281407,311.15
22,283.15,10,1000.0,0.357665523,1000.0,283.15
22,285.15,12,1000.0,0.490374503,1000.0,283.15
22,287.15,14,1000.0,0.272985075,1000.0,287.15
22,289.15,16,1000.0,0.358072399,1000.0,287.15
22,291.15,18,1000.0,0.062781157,1000.0,291.15
22,293.15,20,1000.0,0.433384531,1000.0,291.15
22,295.15,22,949.7487437,0.736441864,628.1407035,295.15
22,297.15,24,1000.0,1.330917385,894.4723618,295.15
22,299.15,26,1000.0,0.207768326,1000.0,299.15
22,301.15,28,407.0351759,0.06858226,281.4070352,299.15
22,303.15,30,1000.0,-0.440871545,1000.0,303.15
22,305.15,32,1000.0,-0.051580033,904.5226131,303.15
22,307.15,34,261.3065327,0.32578245,241.2060302,307.15
22,309.15,36,1000.0,0.11656842,291.4572864,307.15
22,311.15,38,1000.0,-0.01779556,457.2864322,311.15
22,313.15,40,195.9798995,0.040911201,195.9798995,311.15
23,283.15,10,1000.0,0.357825713,1000.0,283.15
23,285.15,12,1000.0,0.746738717,954.7738693,283.15
23,287.15,14,1000.0,0.241619595,1000.0,287.15
23,289.15,16,1000.0,0.173579864,1000.0,287.15
23,291.15,18,1000.0,0.074305758,819.0954774,291.15
23,293.15,20,1000.0,0.148614169,1000.0,291.15
23,295.15,22,864.321608,0.114702415,577.8894472,295.15
23,297.15,24,1000.0,1.98335009,1000.0,295.15
23,299.15,26,1000.0,0.026598361,1000.0,299.15
23,301.15,28,522.6130653,1.201379033,386.9346734,299.15
23,303.15,30,246.2311558,1.714526623,105.5276382,303.15
23,305.15,32,1000.0,-0.065851598,1000.0,303.15
23,307.15,34,1000.0,0.122275379,1000.0,307.15
23,309.15,36,351.758794,-0.010413065,105.5276382,307.15
23,311.15,38,356.7839196,0.486787479,241.2060302,311.15
23,313.15,40,271.3567839,0.066444271,271.3567839,311.15
24,283.15,10,1000.0,0.319054375,1000.0,283.15
24,285.15,12,1000.0,0.411739329,1000.0,283.15
24,287.15,14,1000.0,0.281278725,613.0653266,287.15
24,289.15,16,1000.0,0.208594923,1000.0,287.15
24,291.15,18,1000.0,0.141022216,1000.0,291.15
24,293.15,20,1000.0,0.020622673,1000.0,291.15
24,295.15,22,1000.0,0.424737308,738.6934673,295.15
24,297.15,24,1000.0,1.10388859,1000.0,295.15
24,299.15,26,819.0954774,0.08365029,763.8190955,299.15
24,301.15,28,1000.0,0.219801584,1000.0,299.15
24,303.15,30,170.8542714,-1.367151021,170.8542714,303.15
24,305.15,32,1000.0,-0.039340281,874.3718593,303.15
24,307.15,34,547.7386935,0.547130915,472.361809,307.15
24,309.15,36,1000.0,-0.011184267,140.7035176,307.15
24,311.15,38,487.4371859,0.096344002,251.2562814,311.15
24,313.15,40,1000.0,0.163596784,306.5326633,311.15
25,283.15,10,1000.0,0.298270648,1000.0,283.15
25,285.15,12,1000.0,0.11838744,1000.0,283.15
25,287.15,14,1000.0,0.158444868,743.718593,287.15
25,289.15,16,1000.0,0.453188433,954.7738693,287.15
25,291.15,18,1000.0,0.041890082,1000.0,291.15
25,293.15,20,703.5175879,0.275699221,542.7135678,291.15
25,295.15,22,1000.0,0.281604538,1000.0,295.15
25,297.15,24,1000.0,1.557137278,864.321608,295.15
25,299.15,26,643.2160804,0.089100354,452.2613065,299.15
25,301.15,28,316.5829146,0.459699066,160.8040201,299.15
25,303.15,30,487.4371859,0.19484934,65.32663317,303.15
25,305.15,32,1000.0,0.483308927,1000.0,303.15
25,307.15,34,467.3366834,0.169541854,316.5829146,307.15
25,309.15,36,477.3869347,0.839670155,231.1557789,307.15
25,311.15,38,1000.0,-0.097431877,824.120603,311.15
